City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Harper,LR,2022-02-08 19:24:59,4.375,-7.7169,79.5,82,6,7.58
157,Khatanga,RU,2022-02-08 19:25:00,71.9667,102.5,2.21,79,100,17.63
158,Ndungu,TZ,2022-02-08 19:25:00,-4.3667,38.05,75.31,62,65,4.07
159,Port Macquarie,AU,2022-02-08 19:25:01,-31.4333,152.9167,58.96,90,7,4.56
160,Saint-Philippe,RE,2022-02-08 19:25:01,-21.3585,55.7679,76.59,84,44,9.06
161,Geraldton,AU,2022-02-08 19:25:02,-28.7667,114.6,66.61,77,0,17.27
162,Tshikapa,CD,2022-02-08 19:25:02,-6.4167,20.8,72.81,92,100,0.81
163,Barrow,US,2022-02-08 19:25:03,71.2906,-156.7887,-30.98,100,20,6.91
164,Kavaratti,IN,2022-02-08 19:25:03,10.5669,72.642,79.03,71,83,13.53
165,Vanimo,PG,2022-02-08 19:25:04,-2.6741,141.3028,76.78,90,90,1.63
166,Bathsheba,BB,2022-02-08 19:25:04,13.2167,-59.5167,83.01,57,40,17.27
167,Ingham,US,2022-02-08 19:25:05,42.6,-84.3833,30.83,61,0,8.05
168,Vuktyl,RU,2022-02-08 19:25:05,63.8567,57.3094,-2.81,93,17,4.72
169,Furstenwalde,DE,2022-02-08 19:25:06,52.3667,14.0667,49.08,89,100,15.19
170,Neuquen,AR,2022-02-08 19:23:50,-38.9516,-68.0591,93.09,14,0,11.5
171,Saldanha,ZA,2022-02-08 19:25:06,-33.0117,17.9442,66.25,93,15,10.8
172,Cooma,AU,2022-02-08 19:25:07,-36.2333,149.1333,44.37,100,100,0.0
173,Esna,EG,2022-02-08 19:25:07,25.2934,32.554,64.42,20,0,8.08
174,Deputatskiy,RU,2022-02-08 19:25:07,69.3,139.9,-37.23,98,68,5.12
175,Boyolangu,ID,2022-02-08 19:25:08,-8.1181,111.8935,74.44,94,100,7.25
176,Nyurba,RU,2022-02-08 19:25:09,63.2842,118.3319,-18.42,99,100,2.59
177,Leningradskiy,RU,2022-02-08 19:25:09,69.3833,178.4167,-27.4,80,11,3.24
178,Waw,SS,2022-02-08 19:25:09,7.7029,27.9953,78.53,17,100,4.61
179,Aloleng,PH,2022-02-08 19:25:10,16.1307,119.7824,77.41,77,100,7.76
180,Arraial Do Cabo,BR,2022-02-08 19:26:10,-22.9661,-42.0278,73.26,94,75,13.8
181,Lufkin,US,2022-02-08 19:26:11,31.3382,-94.7291,63.84,22,0,3.44
182,Edd,ER,2022-02-08 19:26:11,13.9297,41.6925,82.29,56,2,19.19
183,Shahreza,IR,2022-02-08 19:26:12,32.0339,51.8794,38.89,38,0,3.89
184,Cheney,US,2022-02-08 19:26:12,47.4874,-117.5758,42.78,80,40,6.91
185,Carnarvon,AU,2022-02-08 19:26:13,-24.8667,113.6333,75.27,73,0,14.97
186,Avarua,CK,2022-02-08 19:26:13,-21.2078,-159.775,78.85,89,75,5.75
187,Labuan,MY,2022-02-08 19:26:13,5.2767,115.2417,78.96,94,20,2.3
188,Tura,IN,2022-02-08 19:26:14,25.5198,90.2201,54.25,75,4,3.2
189,Sur,OM,2022-02-08 19:26:14,22.5667,59.5289,70.36,53,0,11.34
190,Tiksi,RU,2022-02-08 19:26:15,71.6872,128.8694,-22.36,99,59,8.05
191,Dalvik,IS,2022-02-08 19:26:15,65.9702,-18.5286,28.33,95,100,19.57
192,Touros,BR,2022-02-08 19:26:15,-5.1989,-35.4608,88.7,59,5,16.22
193,Victoria,HK,2022-02-08 19:21:25,22.2855,114.1577,61.32,84,100,5.01
194,Olavarria,AR,2022-02-08 19:26:16,-36.8927,-60.3225,76.01,51,0,6.42
195,Lompoc,US,2022-02-08 19:26:16,34.6391,-120.4579,78.57,45,0,3.44
196,Boddam,GB,2022-02-08 19:26:17,57.4667,-1.7833,43.38,69,100,17.52
197,Srivardhan,IN,2022-02-08 19:26:17,18.0333,73.0167,68.2,82,9,6.06
198,Asau,RO,2022-02-08 19:26:18,46.4333,26.4,30.4,89,9,5.01
199,Otrado-Kubanskoye,RU,2022-02-08 19:26:18,45.2442,40.8408,40.8,80,100,5.53
200,Peniche,PT,2022-02-08 19:26:18,39.3558,-9.3811,60.75,70,0,6.73
201,Mount Pleasant,US,2022-02-08 19:21:59,32.7941,-79.8626,51.19,87,100,8.05
202,Buala,SB,2022-02-08 19:26:19,-8.145,159.5921,80.26,83,100,10.13
203,Okha,RU,2022-02-08 19:26:19,53.5739,142.9478,15.84,94,100,18.57
204,Imeni Babushkina,RU,2022-02-08 19:26:20,59.7573,43.1285,25.65,96,100,7.0
205,Kaabong,UG,2022-02-08 19:26:20,3.4836,34.1492,72.07,37,38,13.42
206,Kaitangata,NZ,2022-02-08 19:26:21,-46.2817,169.8464,54.34,95,100,5.91
207,Rio Grande,BR,2022-02-08 19:21:56,-32.035,-52.0986,77.95,56,54,13.02
208,Olbernhau,DE,2022-02-08 19:26:21,50.6667,13.3333,41.86,95,99,15.64
209,Norman Wells,CA,2022-02-08 19:26:22,65.282,-126.8329,-27.36,62,75,0.0
210,Fairbanks,US,2022-02-08 19:22:35,64.8378,-147.7164,-2.24,74,75,4.61
211,Namibe,AO,2022-02-08 19:26:22,-15.1961,12.1522,73.74,79,100,10.6
212,Cherskiy,RU,2022-02-08 19:26:23,68.75,161.3,-41.57,100,87,4.41
213,Hamilton,US,2022-02-08 19:26:23,39.1834,-84.5333,45.0,56,0,12.66
214,Praia Da Vitoria,PT,2022-02-08 19:26:24,38.7333,-27.0667,60.76,94,75,10.33
215,Katangli,RU,2022-02-08 19:26:24,51.7102,143.2326,13.73,94,100,14.52
216,Inta,RU,2022-02-08 19:26:25,66.0317,60.1659,-7.17,91,100,3.51
217,Eyl,SO,2022-02-08 19:26:25,7.9803,49.8164,75.06,69,4,18.39
218,Analipsis,GR,2022-02-08 19:26:25,35.3167,25.5667,50.11,79,100,28.74
219,Buchanan,LR,2022-02-08 19:26:26,5.8808,-10.0467,84.16,76,89,8.84
220,Ribeira Grande,PT,2022-02-08 19:26:26,38.5167,-28.7,59.4,82,40,3.44
221,Gunnedah,AU,2022-02-08 19:26:27,-30.9833,150.25,55.02,56,4,3.98
222,Qiqihar,CN,2022-02-08 19:26:27,47.3408,123.9672,10.04,91,80,12.26
223,Galle,LK,2022-02-08 19:21:54,6.0367,80.217,78.33,73,100,1.77
224,Bengkulu,ID,2022-02-08 19:27:28,-3.8004,102.2655,76.03,86,100,5.32
225,Najran,SA,2022-02-08 19:27:28,17.4924,44.1277,57.85,32,3,2.93
226,Itupiranga,BR,2022-02-08 19:27:29,-5.1347,-49.3267,91.72,85,76,3.51
227,Adet,ET,2022-02-08 19:27:29,11.2644,37.4888,59.65,67,8,4.09
228,Manhumirim,BR,2022-02-08 19:27:30,-20.3578,-41.9581,75.9,89,100,4.0
229,Broken Hill,AU,2022-02-08 19:27:30,-31.95,141.4333,65.91,88,84,5.75
230,Rosario,AR,2022-02-08 19:26:01,-32.9468,-60.6393,87.94,33,0,6.91
231,Nantucket,US,2022-02-08 19:27:31,41.2835,-70.0995,42.04,95,100,18.14
232,Kamenka,RU,2022-02-08 19:27:31,51.3223,42.7678,32.76,98,100,13.62
233,Caska,MK,2022-02-08 19:27:31,41.6506,21.6622,36.12,74,29,6.93
234,Niquelandia,BR,2022-02-08 19:27:32,-14.4739,-48.4597,79.38,77,100,3.18
235,Kristiinankaupunki,FI,2022-02-08 19:27:32,62.2743,21.376,26.65,92,9,7.63
236,Roebourne,AU,2022-02-08 19:27:33,-20.7833,117.1333,83.52,74,90,7.56
237,Faanui,PF,2022-02-08 19:27:33,-16.4833,-151.75,81.48,78,15,20.29
238,Acarau,BR,2022-02-08 19:27:34,-2.8856,-40.12,84.56,69,9,16.82
239,Los Llanos De Aridane,ES,2022-02-08 19:27:34,28.6585,-17.9182,65.12,78,0,13.8
240,Kushima,JP,2022-02-08 19:27:34,31.4583,131.2333,45.41,85,100,8.01
241,Scarborough,GB,2022-02-08 19:27:35,54.2797,-0.4044,53.53,88,100,3.0
242,Tanete,ID,2022-02-08 19:27:35,-3.9443,119.7848,74.62,96,100,2.68
243,Yar-Sale,RU,2022-02-08 19:27:35,66.8333,70.8333,0.23,89,100,16.08
244,Mbandaka,CD,2022-02-08 19:27:36,0.0487,18.2603,80.42,34,87,4.85
245,Kieta,PG,2022-02-08 19:27:36,-6.2167,155.6333,80.04,85,100,6.93
246,Luebo,CD,2022-02-08 19:27:37,-5.35,21.4167,73.22,87,100,2.37
247,Sayyan,YE,2022-02-08 19:27:37,15.1718,44.3244,52.86,34,22,4.45
248,Coihaique,CL,2022-02-08 19:27:37,-45.5752,-72.0662,66.15,34,20,10.36
249,Aranos,NA,2022-02-08 19:27:38,-24.1333,19.1167,77.31,47,100,8.95
250,Suntar,RU,2022-02-08 19:27:38,62.1444,117.6319,-13.77,98,100,4.23
251,Nemuro,JP,2022-02-08 19:27:39,43.3236,145.575,23.76,72,60,13.44
252,Viedma,AR,2022-02-08 19:27:39,-40.8135,-62.9967,91.18,20,96,7.07
253,Pangai,TO,2022-02-08 19:27:39,-19.8,-174.35,79.21,84,100,23.35
254,Kahului,US,2022-02-08 19:27:40,20.8947,-156.47,76.96,71,20,16.11
255,Nuuk,GL,2022-02-08 19:27:40,64.1835,-51.7216,5.61,66,40,18.41
256,La Ronge,CA,2022-02-08 19:27:41,55.1001,-105.2842,17.85,73,100,17.27
257,Cayenne,GF,2022-02-08 19:27:41,4.9333,-52.3333,84.24,77,75,11.5
