City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Bria,CF,68.65,broken clouds,6.5423,21.9863,WFP Guesthouse
626,Myitkyina,MM,57.04,broken clouds,25.3833,97.4,Shwe Phyu Hotel
628,Nador,MA,52.05,broken clouds,35.174,-2.9287,Hôtel La Giralda
629,Binzhou,CN,46.27,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
633,Bahia Honda,CU,72.27,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
635,Brewster,US,48.24,clear sky,41.3973,-73.6171,Heidi's Inn
637,Ajdabiya,LY,51.93,clear sky,30.7554,20.2263,Almadina Hotel
639,Nawada,IN,48.49,clear sky,24.8833,85.5333,Hotal Rajshree International
641,Salaya,IN,66.74,clear sky,22.3167,69.6,sumbhaiya suny Muslim Jama
642,Grand-Santi,GF,71.89,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
645,Black Diamond,US,48.9,scattered clouds,47.3087,-122.0032,Lake Sawyer RV Resort
649,Gewane,ET,72.09,broken clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
650,Bardiyah,LY,53.11,clear sky,31.7561,25.0865,بورتو بردية
651,Sambava,MG,74.55,few clouds,-14.2667,50.1667,Melrose
655,Huilong,CN,48.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
657,Mazamari,PE,70.63,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
661,Sherwood,US,62.35,overcast clouds,34.8151,-92.2243,"Holiday Inn Express & Suites North Little Rock, an IHG Hotel"
662,Mount Gambier,AU,73.8,clear sky,-37.8333,140.7667,The Commodore
665,Dunedin,NZ,62.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
666,Mwense,ZM,64.8,overcast clouds,-10.3845,28.698,Mwense Council Guest House
